timestamp,oil_urals,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,usdrub,eurrub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,fixed_basket,retail_trade_turnover,retail_trade_turnover_per_cap,retail_trade_turnover_growth,labor_force,unemployment,employment,invest_fixed_capital_per_cap,invest_fixed_assets,profitable_enterpr_share,unprofitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_natural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,baths_share,sewerage_share,gas_share,hot_water_share,electric_stove_share,heating_share,old_house_share,average_life_exp,infant_mortarity_per_1000_cap,perinatal_mort_per_1000_cap,incidence_population,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,modern_education_share,old_education_build_share,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,provision_retail_space_sqm,provision_retail_space_modern_sqm,turnover_catering_per_cap,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
1/11/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.0562,45.1631,107.25,0.13058092,71016.7,0.012794871,5.98,6.3,1395.91,1469.19,132.91,248.98,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/12/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.0562,45.1631,107.25,0.13058092,71016.7,0.012794871,5.98,6.3,1395.91,1469.19,132.91,243.31,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/13/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.2802,45.4145,106.75,0.13058092,71016.7,0.012794871,5.98,6.3,1401.82,1477.56,132.98,244.55,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/14/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.3149,45.5805,106.39,0.13058092,71016.7,0.012794871,5.98,6.3,1388.69,1469.64,133.02,244.49,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/15/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.3672,45.39,107.13,0.13058092,71016.7,0.012794871,5.98,6.3,1401.78,1486.51,133.17,244.49,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/16/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.4171,45.4472,107.09,0.13058092,71016.7,0.012794871,5.98,6.3,1397.23,1480.73,132.82,244.55,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/17/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.5557,45.4813,106.48,0.13058092,71016.7,0.012794871,5.98,6.3,1395.79,1486.88,132.78,244.57,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/18/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.5557,45.4813,106.48,0.13058092,71016.7,0.012794871,5.98,6.3,1395.79,1486.88,132.78,244.57,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/19/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.5557,45.4813,106.48,0.13058092,71016.7,0.012794871,5.98,6.3,1395.79,1486.88,132.78,244.57,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/20/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.764,45.7899,106.35,0.13058092,71016.7,0.012794871,5.98,6.3,1394.49,1495.36,132.82,244.63,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/21/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.9399,46.0215,106.73,0.13058092,71016.7,0.012794871,5.98,6.3,1395.87,1504.68,132.76,244.72,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/22/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.9546,45.998,108.27,0.13058092,71016.7,0.012794871,5.98,6.3,1391.75,1498.73,132.43,244.77,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/23/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.0892,46.632,107.58,0.13058092,71016.7,0.012794871,5.98,6.3,1381.59,1496.9,132.43,244.79,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/24/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.5518,47.2639,107.88,0.13058092,71016.7,0.012794871,5.98,6.3,1364.11,1494.58,132.26,244.71,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/25/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.5518,47.2639,107.88,0.13058092,71016.7,0.012794871,5.98,6.3,1364.11,1494.58,132.26,244.71,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/26/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.5518,47.2639,107.88,0.13058092,71016.7,0.012794871,5.98,6.3,1364.11,1494.58,132.26,244.71,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/27/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.73,47.497,106.69,0.13058092,71016.7,0.012794871,5.98,6.3,1346.51,1478.23,131.29,244.76,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/28/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,34.8348,47.5881,107.41,0.13058092,71016.7,0.012794871,5.98,6.3,1332.51,1469.57,131.52,244.89,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
